"","NOM_REG","NOM_PROV","NOM_COM","Pregunta","Id_resp","Alternativa","Valor","codigo"
"1","Región de La Araucanía","Malleco","ERCILLA","P1",1,"De acuerdo",0,"P1_1"
"2","Región de La Araucanía","Malleco","ERCILLA","P1",2,"En desacuerdo",0,"P1_2"
"3","Región de La Araucanía","Malleco","ERCILLA","P1",3,"Nulos",0,"P1_3"
"4","Región de La Araucanía","Malleco","ERCILLA","P1",4,"Blancos",0,"P1_4"
"5","Región de La Araucanía","Malleco","ERCILLA","P2",1,"Convención mixta constitucional",0,"P2_1"
"6","Región de La Araucanía","Malleco","ERCILLA","P2",2,"Convención constitucional",0,"P2_2"
"7","Región de La Araucanía","Malleco","ERCILLA","P2",3,"Nulos",0,"P2_3"
"8","Región de La Araucanía","Malleco","ERCILLA","P2",4,"Blancos",0,"P2_4"
"9","Región de La Araucanía","Malleco","ERCILLA","P3",1,"Sí",0,"P3_1"
"10","Región de La Araucanía","Malleco","ERCILLA","P3",2,"No",0,"P3_2"
"11","Región de La Araucanía","Malleco","ERCILLA","P3",3,"Nulos",0,"P3_3"
"12","Región de La Araucanía","Malleco","ERCILLA","P3",4,"Blancos",0,"P3_4"
"13","Región de La Araucanía","Malleco","ERCILLA","P4",1,"De acuerdo",0,"P4_1"
"14","Región de La Araucanía","Malleco","ERCILLA","P4",2,"En desacuerdo",0,"P4_2"
"15","Región de La Araucanía","Malleco","ERCILLA","P4",3,"Nulos",0,"P4_3"
"16","Región de La Araucanía","Malleco","ERCILLA","P4",4,"Blancos",0,"P4_4"
"17","Región de La Araucanía","Malleco","ERCILLA","P5",1,"De acuerdo",0,"P5_1"
"18","Región de La Araucanía","Malleco","ERCILLA","P5",2,"En desacuerdo",0,"P5_2"
"19","Región de La Araucanía","Malleco","ERCILLA","P5",3,"Nulos",0,"P5_3"
"20","Región de La Araucanía","Malleco","ERCILLA","P5",4,"Blancos",0,"P5_4"
"21","Región de La Araucanía","Malleco","ERCILLA","P6",1,"De acuerdo",0,"P6_1"
"22","Región de La Araucanía","Malleco","ERCILLA","P6",2,"En desacuerdo",0,"P6_2"
"23","Región de La Araucanía","Malleco","ERCILLA","P6",3,"Nulos",0,"P6_3"
"24","Región de La Araucanía","Malleco","ERCILLA","P6",4,"Blancos",0,"P6_4"
"25","Región de La Araucanía","Malleco","LONQUIMAY","P1",1,"De acuerdo",0,"P1_1"
"26","Región de La Araucanía","Malleco","LONQUIMAY","P1",2,"En desacuerdo",0,"P1_2"
"27","Región de La Araucanía","Malleco","LONQUIMAY","P1",3,"Nulos",0,"P1_3"
"28","Región de La Araucanía","Malleco","LONQUIMAY","P1",4,"Blancos",0,"P1_4"
"29","Región de La Araucanía","Malleco","LONQUIMAY","P2",1,"Convención mixta constitucional",0,"P2_1"
"30","Región de La Araucanía","Malleco","LONQUIMAY","P2",2,"Convención constitucional",0,"P2_2"
"31","Región de La Araucanía","Malleco","LONQUIMAY","P2",3,"Nulos",0,"P2_3"
"32","Región de La Araucanía","Malleco","LONQUIMAY","P2",4,"Blancos",0,"P2_4"
"33","Región de La Araucanía","Malleco","LONQUIMAY","P3",1,"Sí",0,"P3_1"
"34","Región de La Araucanía","Malleco","LONQUIMAY","P3",2,"No",0,"P3_2"
"35","Región de La Araucanía","Malleco","LONQUIMAY","P3",3,"Nulos",0,"P3_3"
"36","Región de La Araucanía","Malleco","LONQUIMAY","P3",4,"Blancos",0,"P3_4"
"37","Región de La Araucanía","Malleco","LONQUIMAY","P4",1,"De acuerdo",0,"P4_1"
"38","Región de La Araucanía","Malleco","LONQUIMAY","P4",2,"En desacuerdo",0,"P4_2"
"39","Región de La Araucanía","Malleco","LONQUIMAY","P4",3,"Nulos",0,"P4_3"
"40","Región de La Araucanía","Malleco","LONQUIMAY","P4",4,"Blancos",0,"P4_4"
"41","Región de La Araucanía","Malleco","LONQUIMAY","P5",1,"De acuerdo",0,"P5_1"
"42","Región de La Araucanía","Malleco","LONQUIMAY","P5",2,"En desacuerdo",0,"P5_2"
"43","Región de La Araucanía","Malleco","LONQUIMAY","P5",3,"Nulos",0,"P5_3"
"44","Región de La Araucanía","Malleco","LONQUIMAY","P5",4,"Blancos",0,"P5_4"
"45","Región de La Araucanía","Malleco","LONQUIMAY","P6",1,"De acuerdo",0,"P6_1"
"46","Región de La Araucanía","Malleco","LONQUIMAY","P6",2,"En desacuerdo",0,"P6_2"
"47","Región de La Araucanía","Malleco","LONQUIMAY","P6",3,"Nulos",0,"P6_3"
"48","Región de La Araucanía","Malleco","LONQUIMAY","P6",4,"Blancos",0,"P6_4"
"49","Región de La Araucanía","Malleco","LOS SAUCES","P1",1,"De acuerdo",0,"P1_1"
"50","Región de La Araucanía","Malleco","LOS SAUCES","P1",2,"En desacuerdo",0,"P1_2"
"51","Región de La Araucanía","Malleco","LOS SAUCES","P1",3,"Nulos",0,"P1_3"
"52","Región de La Araucanía","Malleco","LOS SAUCES","P1",4,"Blancos",0,"P1_4"
"53","Región de La Araucanía","Malleco","LOS SAUCES","P2",1,"Convención mixta constitucional",0,"P2_1"
"54","Región de La Araucanía","Malleco","LOS SAUCES","P2",2,"Convención constitucional",0,"P2_2"
"55","Región de La Araucanía","Malleco","LOS SAUCES","P2",3,"Nulos",0,"P2_3"
"56","Región de La Araucanía","Malleco","LOS SAUCES","P2",4,"Blancos",0,"P2_4"
"57","Región de La Araucanía","Malleco","LOS SAUCES","P3",1,"Sí",0,"P3_1"
"58","Región de La Araucanía","Malleco","LOS SAUCES","P3",2,"No",0,"P3_2"
"59","Región de La Araucanía","Malleco","LOS SAUCES","P3",3,"Nulos",0,"P3_3"
"60","Región de La Araucanía","Malleco","LOS SAUCES","P3",4,"Blancos",0,"P3_4"
"61","Región de La Araucanía","Malleco","LOS SAUCES","P4",1,"De acuerdo",0,"P4_1"
"62","Región de La Araucanía","Malleco","LOS SAUCES","P4",2,"En desacuerdo",0,"P4_2"
"63","Región de La Araucanía","Malleco","LOS SAUCES","P4",3,"Nulos",0,"P4_3"
"64","Región de La Araucanía","Malleco","LOS SAUCES","P4",4,"Blancos",0,"P4_4"
"65","Región de La Araucanía","Malleco","LOS SAUCES","P5",1,"De acuerdo",0,"P5_1"
"66","Región de La Araucanía","Malleco","LOS SAUCES","P5",2,"En desacuerdo",0,"P5_2"
"67","Región de La Araucanía","Malleco","LOS SAUCES","P5",3,"Nulos",0,"P5_3"
"68","Región de La Araucanía","Malleco","LOS SAUCES","P5",4,"Blancos",0,"P5_4"
"69","Región de La Araucanía","Malleco","LOS SAUCES","P6",1,"De acuerdo",0,"P6_1"
"70","Región de La Araucanía","Malleco","LOS SAUCES","P6",2,"En desacuerdo",0,"P6_2"
"71","Región de La Araucanía","Malleco","LOS SAUCES","P6",3,"Nulos",0,"P6_3"
"72","Región de La Araucanía","Malleco","LOS SAUCES","P6",4,"Blancos",0,"P6_4"
"73","Región de La Araucanía","Malleco","LUMACO","P1",1,"De acuerdo",1079,"P1_1"
"74","Región de La Araucanía","Malleco","LUMACO","P1",2,"En desacuerdo",82,"P1_2"
"75","Región de La Araucanía","Malleco","LUMACO","P1",3,"Nulos",58,"P1_3"
"76","Región de La Araucanía","Malleco","LUMACO","P1",4,"Blancos",12,"P1_4"
"77","Región de La Araucanía","Malleco","LUMACO","P2",1,"Convención mixta constitucional",350,"P2_1"
"78","Región de La Araucanía","Malleco","LUMACO","P2",2,"Convención constitucional",770,"P2_2"
"79","Región de La Araucanía","Malleco","LUMACO","P2",3,"Nulos",102,"P2_3"
"80","Región de La Araucanía","Malleco","LUMACO","P2",4,"Blancos",9,"P2_4"
"81","Región de La Araucanía","Malleco","LUMACO","P3",1,"Sí",967,"P3_1"
"82","Región de La Araucanía","Malleco","LUMACO","P3",2,"No",223,"P3_2"
"83","Región de La Araucanía","Malleco","LUMACO","P3",3,"Nulos",38,"P3_3"
"84","Región de La Araucanía","Malleco","LUMACO","P3",4,"Blancos",3,"P3_4"
"85","Región de La Araucanía","Malleco","LUMACO","P4",1,"De acuerdo",1083,"P4_1"
"86","Región de La Araucanía","Malleco","LUMACO","P4",2,"En desacuerdo",79,"P4_2"
"87","Región de La Araucanía","Malleco","LUMACO","P4",3,"Nulos",65,"P4_3"
"88","Región de La Araucanía","Malleco","LUMACO","P4",4,"Blancos",4,"P4_4"
"89","Región de La Araucanía","Malleco","LUMACO","P5",1,"De acuerdo",972,"P5_1"
"90","Región de La Araucanía","Malleco","LUMACO","P5",2,"En desacuerdo",177,"P5_2"
"91","Región de La Araucanía","Malleco","LUMACO","P5",3,"Nulos",75,"P5_3"
"92","Región de La Araucanía","Malleco","LUMACO","P5",4,"Blancos",7,"P5_4"
"93","Región de La Araucanía","Malleco","LUMACO","P6",1,"De acuerdo",1041,"P6_1"
"94","Región de La Araucanía","Malleco","LUMACO","P6",2,"En desacuerdo",109,"P6_2"
"95","Región de La Araucanía","Malleco","LUMACO","P6",3,"Nulos",77,"P6_3"
"96","Región de La Araucanía","Malleco","LUMACO","P6",4,"Blancos",4,"P6_4"
"97","Región de La Araucanía","Malleco","PUREN","P1",1,"De acuerdo",0,"P1_1"
"98","Región de La Araucanía","Malleco","PUREN","P1",2,"En desacuerdo",0,"P1_2"
"99","Región de La Araucanía","Malleco","PUREN","P1",3,"Nulos",0,"P1_3"
"100","Región de La Araucanía","Malleco","PUREN","P1",4,"Blancos",0,"P1_4"
"101","Región de La Araucanía","Malleco","PUREN","P2",1,"Convención mixta constitucional",0,"P2_1"
"102","Región de La Araucanía","Malleco","PUREN","P2",2,"Convención constitucional",0,"P2_2"
"103","Región de La Araucanía","Malleco","PUREN","P2",3,"Nulos",0,"P2_3"
"104","Región de La Araucanía","Malleco","PUREN","P2",4,"Blancos",0,"P2_4"
"105","Región de La Araucanía","Malleco","PUREN","P3",1,"Sí",0,"P3_1"
"106","Región de La Araucanía","Malleco","PUREN","P3",2,"No",0,"P3_2"
"107","Región de La Araucanía","Malleco","PUREN","P3",3,"Nulos",0,"P3_3"
"108","Región de La Araucanía","Malleco","PUREN","P3",4,"Blancos",0,"P3_4"
"109","Región de La Araucanía","Malleco","PUREN","P4",1,"De acuerdo",0,"P4_1"
"110","Región de La Araucanía","Malleco","PUREN","P4",2,"En desacuerdo",0,"P4_2"
"111","Región de La Araucanía","Malleco","PUREN","P4",3,"Nulos",0,"P4_3"
"112","Región de La Araucanía","Malleco","PUREN","P4",4,"Blancos",0,"P4_4"
"113","Región de La Araucanía","Malleco","PUREN","P5",1,"De acuerdo",0,"P5_1"
"114","Región de La Araucanía","Malleco","PUREN","P5",2,"En desacuerdo",0,"P5_2"
"115","Región de La Araucanía","Malleco","PUREN","P5",3,"Nulos",0,"P5_3"
"116","Región de La Araucanía","Malleco","PUREN","P5",4,"Blancos",0,"P5_4"
"117","Región de La Araucanía","Malleco","PUREN","P6",1,"De acuerdo",0,"P6_1"
"118","Región de La Araucanía","Malleco","PUREN","P6",2,"En desacuerdo",0,"P6_2"
"119","Región de La Araucanía","Malleco","PUREN","P6",3,"Nulos",0,"P6_3"
"120","Región de La Araucanía","Malleco","PUREN","P6",4,"Blancos",0,"P6_4"
"121","Región de La Araucanía","Malleco","RENAICO","P1",1,"De acuerdo",976,"P1_1"
"122","Región de La Araucanía","Malleco","RENAICO","P1",2,"En desacuerdo",62,"P1_2"
"123","Región de La Araucanía","Malleco","RENAICO","P1",3,"Nulos",34,"P1_3"
"124","Región de La Araucanía","Malleco","RENAICO","P1",4,"Blancos",3,"P1_4"
"125","Región de La Araucanía","Malleco","RENAICO","P2",1,"Convención mixta constitucional",232,"P2_1"
"126","Región de La Araucanía","Malleco","RENAICO","P2",2,"Convención constitucional",666,"P2_2"
"127","Región de La Araucanía","Malleco","RENAICO","P2",3,"Nulos",174,"P2_3"
"128","Región de La Araucanía","Malleco","RENAICO","P2",4,"Blancos",3,"P2_4"
"129","Región de La Araucanía","Malleco","RENAICO","P3",1,"Sí",867,"P3_1"
"130","Región de La Araucanía","Malleco","RENAICO","P3",2,"No",163,"P3_2"
"131","Región de La Araucanía","Malleco","RENAICO","P3",3,"Nulos",43,"P3_3"
"132","Región de La Araucanía","Malleco","RENAICO","P3",4,"Blancos",2,"P3_4"
