"","NOM_REG","NOM_PROV","NOM_COM","id_opcion","descripcion","valor"
"1","Región de La Araucanía","Malleco","ERCILLA",1,"Acceso y calidad a la ed. pública",0
"2","Región de La Araucanía","Malleco","ERCILLA",2,"Deuda universitaria (CAE y otros)",0
"3","Región de La Araucanía","Malleco","ERCILLA",3,"Reducir la desigualidad de ingresos",0
"4","Región de La Araucanía","Malleco","ERCILLA",4,"Acceso y calidad de la vivienda",0
"5","Región de La Araucanía","Malleco","ERCILLA",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"6","Región de La Araucanía","Malleco","ERCILLA",6,"Reducir la impunidad y la delincuencia",0
"7","Región de La Araucanía","Malleco","ERCILLA",7,"Ampliar el acceso al agua",0
"8","Región de La Araucanía","Malleco","ERCILLA",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"9","Región de La Araucanía","Malleco","ERCILLA",9,"Transporte público (calidad, acceso y precio",0
"10","Región de La Araucanía","Malleco","ERCILLA",10,"Cuidado del medio ambiente y recursos naturales",0
"11","Región de La Araucanía","Malleco","ERCILLA",11,"Reducir costos de servicios básicos",0
"12","Región de La Araucanía","Malleco","ERCILLA",12,"Nulos",0
"13","Región de La Araucanía","Malleco","ERCILLA",13,"Blancos",0
"14","Región de La Araucanía","Malleco","LONQUIMAY",1,"Acceso y calidad a la ed. pública",0
"15","Región de La Araucanía","Malleco","LONQUIMAY",2,"Deuda universitaria (CAE y otros)",0
"16","Región de La Araucanía","Malleco","LONQUIMAY",3,"Reducir la desigualidad de ingresos",0
"17","Región de La Araucanía","Malleco","LONQUIMAY",4,"Acceso y calidad de la vivienda",0
"18","Región de La Araucanía","Malleco","LONQUIMAY",5,"Mejorar la calidad de la salud pública y su financiamiento",0
"19","Región de La Araucanía","Malleco","LONQUIMAY",6,"Reducir la impunidad y la delincuencia",0
"20","Región de La Araucanía","Malleco","LONQUIMAY",7,"Ampliar el acceso al agua",0
"21","Región de La Araucanía","Malleco","LONQUIMAY",8,"Mejorar las pensiones y dignificar la calidad de vida",0
"22","Región de La Araucanía","Malleco","LONQUIMAY",9,"Transporte público (calidad, acceso y precio",0
"23","Región de La Araucanía","Malleco","LONQUIMAY",10,"Cuidado del medio ambiente y recursos naturales",0
"24","Región de La Araucanía","Malleco","LONQUIMAY",11,"Reducir costos de servicios básicos",0
"25","Región de La Araucanía","Malleco","LONQUIMAY",12,"Nulos",0
"26","Región de La Araucanía","Malleco","LONQUIMAY",13,"Blancos",0
"27","Región de La Araucanía","Malleco","LOS SAUCES",1,"Acceso y calidad a la ed. pública",0
"28","Región de La Araucanía","Malleco","LOS SAUCES",2,"Deuda universitaria (CAE y otros)",0
"29","Región de La Araucanía","Malleco","LOS SAUCES",3,"Reducir la desigualidad de ingresos",0
